ra,dec,m,sp_cl,hd_id,bayer_name,proper_name
0.50149854,-1.18066676,4.69,G8.5,11977,eta2 Hyi,
0.54319010,-0.51132814,4.69,B9.5,12767,nu For,
1.16329104,0.25680096,4.69,G7,28100,pi Tau,
1.21856707,0.27782248,4.69,A5,29488,sig2 Tau,
2.34015201,-0.92020061,4.69,B5,76805,H Vel,
2.45744540,-0.50324630,4.69,G8.5,81169,lam Pyx,
2.47534230,-0.38997443,4.69,K2.5,81799,G Hya,
3.34069836,-1.06432117,4.69,K0,110829,iot Cru,
3.54286567,-0.10918489,4.69,M2,117675,l Vir,
4.73430013,-0.51626839,4.69,F4,164975,gam1 Sgr,
5.14600149,0.52627495,4.69,G8,185734,phi Cyg,
5.54291118,0.17683094,4.69,F0,201601,gam Equ,
5.66250986,-0.13708107,4.69,A7,205767,xi Aqr,Bunda
5.77424730,-0.99110461,4.69,K4-5,209100,eps Ind,
5.77405095,-0.03761669,4.69,B7,209409,omi Aqr,
5.94977651,-0.32865035,4.69,K4,215167,g Aqr,
6.06464100,-0.39195732,4.69,G2,218640,89 Aqr,
0.77999491,0.69224606,4.7,A2,18411,pi Per,Gorgonea Secunda
0.78415462,0.15546520,4.7,B6,18604,lam Cet,
1.99971099,-0.44269792,4.7,B8,61429,m Pup,
2.61892472,0.14039719,4.7,M2,86663,pi Leo,
3.03984723,-0.17108105,4.7,B9.5,100889,the Crt,
3.05525703,-0.60640980,4.7,B9,101431,omi Hya,
3.55373034,0.85549253,4.7,A5,118232,24 CVn,
4.83979074,-0.25422175,4.7,A3,170296,gam Sct,
5.21783633,-0.45901190,4.7,G5,188376,ome Sgr,Terebellum
0.40985421,1.03379245,4.71,G9,9408,chi Cas,
0.63540166,0.87752731,4.71,K4,14872,65 And,
1.11216016,0.70657231,4.71,G5,26673,f Per,
1.39251822,0.69986249,4.71,G1.5,34411,lam Aur,
1.39821962,-0.37069824,4.71,A0,34968,,
1.43873308,-0.01906287,4.71,K5,36167,31 Ori,
2.04351148,-0.82166223,4.71,K0,63744,Q Pup,
2.38079636,-1.23113586,4.71,B2,78764,E Car,
2.78694175,0.55808842,4.71,G2.5,92125,37 LMi,
2.85351879,0.75380770,4.71,A1,94334,ome UMa,
3.43078644,-0.84584958,4.71,B5,113703,f Cen,
3.65493035,-1.11154202,4.71,K1.5,121474,,
5.21089138,0.14767910,4.71,G9,188310,xi Aql,Libertas
5.57605789,-0.56151605,4.71,A1,202627,eps Mic,
5.99700949,1.47211735,4.71,K4,217382,,
6.16658277,-0.36502592,4.71,A1,221565,b3 Aqr,
6.17443675,-0.74377206,4.71,A2,221760,iot Phe,
0.91358532,-1.09846660,4.72,F5,22001,kap Ret,
1.33303885,-1.00308920,4.72,F7,33262,zet Dor,
2.14357703,-0.22561774,4.72,G9,68290,19 Pup,
2.44997685,-0.45318444,4.72,M1,80874,the Pyx,
3.09027270,-1.16613689,4.72,K4,102584,mu Mus,
3.16044221,-1.10244692,4.72,B2,104841,the2 Cru,
3.94933103,-0.82119681,4.72,B5,133242,pi Lup A,
4.21710817,-0.78842340,4.72,A,144197,del Nor,
4.89684119,-0.15799593,4.72,F2,172748,del Sct,
0.13863732,0.95159229,4.73,B8,2772,lam Cas,
0.91899585,-0.08858031,4.73,B9,21790,17 Eri,
0.99744840,-0.65660256,4.73,B9,24072,f Eri A,
1.40395012,-0.00667588,4.73,B2,35039,22 Ori,
3.07511015,-0.32028246,4.73,G8,102070,zet Crt,
3.47993200,0.70812371,4.73,F3,115604,20 CVn,
3.63555719,-0.55724485,4.73,B4,120955,4 Cen A,
4.42438784,-0.73936026,4.73,B1,152236,zet1 Sco,
4.52307166,-0.00777156,4.73,K2,156266,41 Oph,
5.46573126,-0.15678874,4.73,A3,198743,mu Aqr,
5.66324436,1.08353434,4.73,B2,206165,9 Cep,
5.68391924,-0.32928060,4.73,G8,206453,kap Cap,
5.69039877,0.50165611,4.73,F6,206826,mu1 Cyg,
0.37495490,1.18909282,4.74,K0,8491,psi Cas,
1.27641746,0.24871911,4.74,S3.5,30959,omi Ori,
1.53170095,0.65110477,4.74,M0,38944,ups Aur,
2.73106940,0.58985341,4.74,F0,90277,30 LMi,
2.75035529,-1.25651586,4.74,A1,91375,202 Car,
2.88777087,-0.04336658,4.74,M0,95578,p2 Leo,
3.23198616,0.31054256,4.74,G8,107383,11 Com,
3.48369900,-0.31959403,4.74,G6,115617,61 Vir,
3.62937582,0.60116412,4.74,K5,120933,,
4.11001768,-0.34346140,4.74,M0,139997,kap Lib,
5.11281842,0.60131926,4.74,B3,184171,8 Cyg,
5.49703083,0.82939985,4.74,B1,200120,59 Cyg,
5.96677166,1.45130915,4.74,K3,216446,,
6.18653770,-0.79399391,4.74,A2,222095,,
0.49536807,0.33673704,4.75,A1,11502,gam2 Ari,Mesarthim
0.66360327,-0.26607060,4.75,F4,15798,sig Cet,
0.69725904,-0.74860081,4.75,A2,16754,s Eri B,
0.74629552,-0.36659186,4.75,K0,17824,tau2 Eri,Angetenar
0.74383751,-1.31016534,4.75,K3,18293,nu Hyi,
2.14427516,-0.75026856,4.75,A5,68601,,
2.76299438,0.70555905,4.75,A7,91312,,
3.70844651,-0.93268941,4.75,G9,123569,,
3.73572455,0.89652716,4.75,A9,125161,iot Boo,
4.11323199,-0.60581348,4.75,B5,140008,psi2 Lup,
4.98778012,-0.73470120,4.75,B9.5,176638,zet CrA,
6.10265281,1.18877284,4.75,K0,219916,omi Cep,
0.19281525,-0.18516974,4.76,K0,4188,phi1 Cet,
0.34673874,0.47584948,4.76,A3,7964,ups Psc,
0.80957097,0.98970350,4.76,G9.5,18970,k Per,
1.45180123,0.56185542,4.76,B5,36371,chi Aur,
1.89646022,-0.84249952,4.76,B8-9,56456,,
2.13371592,-1.06993046,4.76,F5,68456,B Car,
2.36729915,1.18036132,4.76,M3,76827,rho UMa,
3.52317981,-0.27879211,4.76,K0,116976,69 Vir,
3.94352781,0.83172696,4.76,F9,133640,44 Boo,I Boo*
4.15067658,0.36613129,4.76,K5,141992,rho Ser,
4.20100024,0.80349141,4.76,B9,144206,ups Her,
4.22793649,0.63688519,4.76,K1,145328,tau CrB,
4.71148723,-0.41566955,4.76,B9,163955,4 Sgr,
5.32614856,-0.22268947,4.76,B9.5,193432,nu Cap,Alshat
5.39123479,-1.05734955,4.76,F1,195627,phi1 Pav,
6.05242369,0.44450627,4.76,G8,218356,56 Peg,
0.13708107,-0.85178370,4.77,A0,2834,lam1 Phe,
0.23129249,-0.01996948,4.77,M0,5112,20 Cet,
1.77731241,0.14027599,4.77,K4,49161,17 Mon,
2.27424401,-0.82583647,4.77,A5,74272,n Vel,
2.53632701,-0.41175226,4.77,B6,83953,I Hya,
3.01206741,-0.05242290,4.77,K3.5,99998,87 Leo,
3.75554858,-0.78866581,4.77,F0,125442,,
3.76596965,-0.48439674,4.77,K4,125932,51 Hya,
4.20785065,-0.19849727,4.77,F5,144070,xi Sco A,
4.62683876,-0.86246415,4.77,F3,160032,lam Ara,
4.85452423,0.99563277,4.77,F7,171635,45 Dra,
5.04494692,0.37333078,4.77,B4,180554,1 Vul,
5.25151391,-0.66219246,4.77,K5,189831,,
1.18054798,0.28263668,4.78,A6,28527,,
1.27685379,0.64058916,4.78,K2.5,30834,2 Aur,
1.46190960,-0.10475369,4.78,B0.5,36960,,
1.53780960,0.03237586,4.78,K1.5,39400,56 Ori,
2.15327088,-0.62656835,4.78,B1.5,68980,r Pup,
2.96327091,0.66646367,4.78,A1,98353,55 UMa,
3.39869420,0.30385213,4.78,M1,112769,36 Com,
4.26863175,-0.49940657,4.78,A0,146624,d Sco,
4.54653907,-1.18281933,4.78,K2,156277,zet Aps,
5.30259388,0.44666369,4.78,B3,192685,,
5.36191326,-0.31090617,4.78,F2,194943,rho Cap,
5.46832017,0.77470317,4.78,B5,199081,57 Cyg,
0.00695950,-1.34505253,4.78,K3,224889,the Oct,
0.51455942,0.41182983,4.79,F0,11973,lam Ari,
1.02229025,-0.05156963,4.79,G8,24555,32 Eri A,
1.30869151,-0.21882065,4.79,F0,32045,64 Eri,
1.74241310,0.74157101,4.79,K3,47174,psi2 Aur,
1.90508506,-0.40693321,4.79,K3,56577,145 CMa,
2.08422129,-0.52944078,4.79,A2,65456,chi Pup,
2.44247193,-0.20900318,4.79,G8,80499,26 Hya,
2.54906064,-0.48466824,4.79,A8,84367,the Ant,
2.70410406,0.33983015,4.79,F6,89449,40 Leo,
3.37875381,-0.16648502,4.79,M3,112142,psi Vir,
4.32059165,-0.43833944,4.79,B2,148605,22 Sco,
4.91069474,-1.13221933,4.79,A5,172555,,
5.80237619,1.26259057,4.79,G7,210807,24 Cep,
5.82771982,-0.72163547,4.79,G8,211088,mu1 Gru,
5.88114144,0.08195290,4.79,K0,212943,35 Peg,
5.94178436,0.51151237,4.79,A1,214994,omi Peg,
0.06371906,0.35267286,4.8,M2,1013,chi Peg,
0.18354319,0.88160944,4.8,B2,3901,xi Cas,
0.85448411,-0.15393319,4.8,A5,20320,zet Eri,Zibal
0.98627829,1.10557881,4.8,G0,23089,,
1.15233909,0.30445330,4.8,A7,27819,del2 Tau,
1.47866476,-0.12589157,4.8,A4,37507,49 Ori,
1.65303042,1.20985739,4.8,A0,42818,,
2.40151487,1.17172195,4.8,F6,78154,sig2 UMa,
2.44556989,-0.16678075,4.8,G8,80586,27 Hya,
3.24642149,0.89993055,4.8,G6,107950,5 CVn,
3.43471343,0.48214236,4.8,K5,113996,41 Com,
3.46992545,-1.18498160,4.8,B8,114911,eta Mus,
3.48020835,0.09546466,4.8,M1,115521,sig Vir,
4.61182165,1.20005446,4.8,F5,160922,ome Dra,
6.27626217,0.89690046,4.8,M7,224490,,
0.12186034,-0.57608470,4.81,M4,2429,eta Scl,
1.31527285,-0.12520798,4.81,B3,32249,psi Eri,
1.61573128,-0.95938325,4.81,B3,42933,del Pic,
2.44759157,-1.08916787,4.81,G6,81101,k Car,
2.50918714,0.69152369,4.81,G9.5,82741,,
3.23978924,0.45109974,4.81,G0,107700,12 Com,
3.29366174,0.39495347,4.81,A0,109485,23 Com,
3.74371670,0.61975672,4.81,K0,125351,A Boo,
3.78824441,-0.03888691,4.81,G2,126868,phi Vir,Elgafar
3.85466146,0.46299707,4.81,M3,129712,34 Boo,
3.93619016,0.43647291,4.81,K4,133124,ome Boo,
4.58767066,-0.41822937,4.81,B9.5,158643,51 Oph,
4.66957024,-0.69971219,4.81,A2,161912,iot2 Sco,
4.82299922,-0.35851972,4.81,K2,169420,21 Sgr,
5.31359673,0.66380204,4.81,B2,193237,34 Cyg,
5.85261985,0.49446147,4.81,B9,212097,32 Peg,
5.90358347,-1.08179386,4.81,M4,213442,nu Tuc,
0.23155429,1.06681796,4.82,F8,5015,,
0.56063612,0.66076711,4.82,A5,13041,58 And,
0.86712321,0.59730015,4.82,K2,20468,,
1.35132117,0.27222288,4.82,F2,33276,15 Ori,
1.56204786,0.45298081,4.82,B0.5,40111,139 Tau,
1.74218039,-0.24689137,4.82,K2,47667,,
2.09584954,-1.10946217,4.82,B3,66591,D Car,
2.19268623,-0.84631500,4.82,B1,70930,B Vel,
2.78185121,-0.23360262,4.82,C5,92055,,
2.80227156,-1.12515074,4.82,B4,92938,,
2.81048188,-1.11633198,4.82,B5,93194,,
3.25733707,-0.89798644,4.82,B3,108257,G Cen,
3.56684213,0.63346725,4.82,A7,118623,25 CVn,
3.70379957,1.35345920,4.82,K3,124547,4 UMi,
3.94933103,-0.82119681,4.82,B5,133243,pi Lup B,
3.98295044,-0.77668121,4.82,B3,134687,e Lup,
4.15053113,0.62234078,4.82,K1,142091,kap CrB,
4.28510329,0.01796235,4.82,F0,147449,sig Ser,
4.40362569,0.80256057,4.82,A2,152107,52 Her,
4.45521472,-0.07369653,4.82,K4,153687,30 Oph,
4.52618417,0.57770398,4.82,B1.5,156633,u Her,
4.82576993,1.14430088,4.82,K1.5,170693,42 Dra,Fafnir
4.94974649,1.24437128,4.82,K0,176524,ups Dra,
5.40407024,0.37002919,4.82,A0,196724,29 Vul,
5.58836973,-0.71226402,4.82,A,203006,the1 Mic,
5.89330784,-0.18636723,4.82,A0,213320,sig Aqr,
6.20361284,-0.31095465,4.82,G0,222574,104 Aqr,
0.23999004,1.02926914,4.83,K2,5234,ups1 Cas,
0.38247436,0.79249584,4.83,F5,8799,ome And,
0.49536807,0.33677582,4.83,B9,11503,gam2 Ari,
0.51123603,-0.82702427,4.83,G8,12055,,
0.58128918,0.77198822,4.83,K3.5,13520,60 And,
0.86987937,0.05882244,4.83,G5,20630,kap1 Cet,
1.38528964,-0.60903749,4.83,K0,34642,omi Col,
1.36902172,-1.17260431,4.83,K2.5,34649,the Dor,
1.80444501,-0.35297830,4.83,B1,50707,15 CMa,
1.87121840,-0.69212486,4.83,B2,54893,A Pup,
2.18769750,-0.57690889,4.83,K2.5,70555,w Pup,
2.42682942,0.94286080,4.83,A5,79439,18 UMa,
2.71541234,-0.72692963,4.83,K1,89998,r Vel,
2.98717465,-0.18953306,4.83,K5,99167,eps Crt,
3.71056272,0.43793220,4.83,F9,123999,d Boo,
3.84473490,0.23960462,4.83,A2,129246,zet Boo B,
4.19880403,0.39801264,4.83,A3,143894,pi Ser,
4.36733012,1.12729362,4.83,K0,151101,18 Dra,
4.66515601,-0.55332755,4.83,B8,161840,,
4.91342909,0.46534356,4.83,K3,173780,,
4.94875019,-0.39697514,4.83,K2,174974,nu1 Sgr,Ainalrami
4.96136747,-0.10203389,4.83,K2,175751,eta Sct,
5.23142081,-0.45719869,4.83,G6,189005,60 Sgr,
5.29401995,0.81709043,4.83,A5,192514,30 Cyg,
0.39350630,0.10723109,4.84,K4,9138,mu Psc,
0.54066664,0.73881242,4.84,B8,12534,gam2 And,
0.69622638,-0.20720937,4.84,F5,16620,eps Cet,
0.72231906,-1.18013346,4.84,A2,17566,zet Hyi,
0.87262099,1.14584744,4.84,B2.5,20336,,
1.10802228,0.16168051,4.84,G5,26722,47 Tau,
2.00475790,-0.66860655,4.84,B2.5,61831,d1 Pup,
2.13129427,0.89896092,4.84,A2,67006,27 Lyn,
2.75162792,0.97704501,4.84,F8,90839,36 UMa,
2.77111016,1.32144211,4.84,G8.5,91190,,
2.88223673,0.06313729,4.84,K1,95345,58 Leo,
4.33105636,0.20050439,4.84,K7,149161,h Her,
5.44952152,0.80484404,4.84,B3,198478,55 Cyg,
5.51700758,-0.34653512,4.84,A5,200499,eta Cap,
5.78437021,0.08828942,4.84,K4,209747,nu Peg,
0.50906891,-0.39316935,4.85,K4,11930,56 Cet,
1.14124171,0.81155871,4.85,B4,27396,d Per,
1.96287000,-0.40185236,4.85,A5,59612,,
2.82243011,-1.12370115,4.85,B3,93607,,
3.07738635,0.14413511,4.85,A4,102124,xi Vir,
3.41889638,-0.86441310,4.85,A0,113314,xi1 Cen,
3.45598463,-0.65978779,4.85,G3,114613,,
4.28520510,0.53916614,4.85,K0,147677,xi CrB,
4.38643420,0.99103189,4.85,F2,151613,,
5.04199441,-0.44081199,4.85,G8,179950,psi Sgr,
5.94939109,-0.72281841,4.85,K0,215104,rho Gru,
5.95869224,-0.93375600,4.85,K2,215369,eta Gru,
6.05024930,1.03706979,4.85,B0.5,218376,1 Cas,
6.09881309,0.85547798,4.85,M2,219734,8 And,
0.33060172,-1.20211491,4.86,F6,7788,kap Tuc,
0.68013299,0.09762208,4.86,G8,16161,nu Cet,
1.36758910,0.67168027,4.86,A4,33641,mu Aur,
1.48918037,0.28857080,4.86,B3,37711,126 Tau,
1.52287249,0.42878376,4.86,G8,38751,132 Tau,
2.24853676,-1.01245095,4.86,K0,73389,e2 Car,
2.27950909,-0.92701224,4.86,B3,74560,,
2.65699471,-0.90427448,4.86,B3,88206,Q Vel,
3.25728617,-1.10169546,4.86,B4,108250,,
3.75138161,0.28460987,4.86,K3,125560,20 Boo,
3.84690929,0.14244796,4.86,G7,129312,31 Boo,
4.00399620,-1.11021363,4.86,K2.5,135291,eps Cir,
4.69838271,-0.77391778,4.86,K2,163145,,
4.80344426,0.05894365,4.86,G8,168656,74 Oph,
5.17647930,-0.34489645,4.86,K1,186648,56 Sgr,
6.27739663,-0.06206585,4.86,G9,224533,27 Psc,
0.59800798,0.59732439,4.87,G0.5,13974,del Tri,
0.83748897,1.29841346,4.87,A2,19275,,
1.11000759,-0.17900776,4.87,K3,26846,39 Eri A,
1.54075485,-0.58994553,4.87,B5,39764,lam Col,
1.77253457,1.03745280,4.87,A3,48250,12 Lyn,
2.95912575,0.55028777,4.87,G0,98230,xi UMa B,
3.47851392,-1.16559390,4.87,K2,115211,,
4.47163535,-0.59555482,4.87,B1,154090,k Sco,
4.59137949,0.96295148,4.87,A4,159560,nu2 Dra,
4.64008872,-0.37844556,4.87,F6,160915,58 Oph,
4.90578601,-0.62206928,4.87,B2.5,172910,,
4.96747612,-0.92395307,4.87,A0,175510,lam Tel,
4.96861786,-0.64764805,4.87,F2,175813,eps CrA,
6.22671663,1.02366954,4.87,K1,223165,tau Cas,
0.35927603,0.79462902,4.88,K0,8207,xi And,Adhil
0.86554514,-0.39289786,4.88,G6,20610,15 Eri,
1.26497101,0.65429485,4.88,K3.5,30504,1 Aur,
1.42957737,0.38287191,4.88,B2.5,35708,114 Tau,
2.03384672,0.32306044,4.88,K4,62721,81 Gem,
2.27644022,-0.27826366,4.88,G9.5,74137,9 Hya,
2.59270842,-0.45260751,4.88,K2,85859,,
3.32435044,0.17864415,4.88,A0,110411,rho Vir,
4.18089259,-0.24922332,4.88,B5,142983,48 Lib,
4.59098679,0.96314540,4.88,A6,159541,nu1 Dra,
4.70276785,-0.72808349,4.88,M0,163376,,
5.39999780,-1.07390109,4.88,F5,195961,rho Pav,
5.93089787,0.68155592,4.88,O9,214680,10 Lac,
6.27885835,0.97310832,4.88,B1,224572,sig Cas,
0.04915284,-0.26996850,4.89,F7,693,6 Cet,
0.21308289,0.88956523,4.89,B9,4636,nu Cas,
0.63682701,-0.21451066,4.89,B9.5,15130,rho Cet,
0.85041895,0.36729484,4.89,A1,20150,zet Ari,
1.89029339,-0.78859309,4.89,A0,56022,72 Pup,
2.26765539,-0.51593872,4.89,G4,73898,zet Pyx,
2.33666862,-0.48314107,4.89,A3,76483,del Pyx,
2.75484224,-0.93751330,4.89,F6,91324,Y Vel,
2.78043313,-0.47843838,4.89,M2,92036,,
4.20364005,-0.67374072,4.89,B6,143699,,
4.43325993,1.13681536,4.89,F6,153597,19 Dra,
5.16738177,0.65195805,4.89,G7,186675,15 Cyg,
5.39623807,-0.04450590,4.89,K5,196321,70 Aql,
5.45189953,-0.80681238,4.89,K5,198048,zet Ind,
0.37358773,-0.25479868,4.9,K2.5,8705,46 Cet,
0.67127545,-0.49275008,4.9,B9.5,16046,ome For,
1.65803370,-0.05139025,4.9,M1,44131,,
1.82220373,0.78704168,4.9,A2,50973,psi10 Aur,
1.88345025,0.68627316,4.9,K4,54716,63 Aur,
2.00348526,0.60360758,4.9,F3,61110,omi Gem,Jishui
3.10604611,-1.13806133,4.9,B4,103079,,
3.37414323,0.37079520,4.9,G8,112033,35 Com,
3.40459196,0.53729961,4.9,G9,112989,13 CVn,
4.35786170,0.85396051,4.9,M2.5,150450,42 Her,
4.90228808,-0.14443084,4.9,G8,173009,eps Sct,
5.12785006,-0.83948883,4.9,K0,184127,iot Tel,
5.45401574,-0.58956737,4.9,G7,198232,alp Mic,
5.64952898,0.67254808,4.9,K0.5,205512,72 Cyg,
6.00056560,0.15386532,4.9,A1,216735,rho Peg,
0.70794191,0.70151570,4.91,F9,16739,12 Per,
1.18629302,-0.00076601,4.91,K3,28749,45 Eri,
1.31522195,-0.34997245,4.91,B9.5,32309,,
1.49433636,0.02573876,4.91,K1,37984,51 Ori,
1.52519233,0.22080354,4.91,B9,38899,134 Tau,
1.67943580,0.86023885,4.91,K5,44537,psi1 Aur,
2.78634543,-0.29455340,4.91,G8,92214,phi Hya,
3.08276779,-0.70686804,4.91,G3,102365,,
3.13994186,-1.36523048,4.91,B9,104174,eps Cha,
3.36275496,-0.59340225,4.91,A0,111597,p Cen,
3.62030738,0.37112972,4.91,K4,120539,6 Boo,
3.71249712,-0.28452261,4.91,M2,123934,,
3.74473481,-1.41385244,4.91,A2,123998,eta Aps,
3.99078987,-0.55011324,4.91,F1,135153,1 Lup,
4.31300674,-1.22320431,4.91,F9,147584,zet TrA,
4.47405700,0.22236949,4.91,A4,154494,60 Her,
5.36536029,-0.05036245,4.91,K2,195135,69 Aql,
5.43179188,0.44105440,4.91,K2,197752,30 Vul,
5.74497667,1.11047543,4.91,M2,208816,,
6.15243106,1.02187088,4.91,B3,221253,,
1.87722524,-0.07395348,4.92,K0,54810,20 Mon,
2.34298817,-1.03374882,4.92,B2,77002,b1 Car,
3.46555485,-1.03154777,4.92,F7,114837,,
3.46324229,0.70079818,4.92,G8,115004,,
3.76387525,-1.02030978,4.92,G8,125628,,
3.86148279,-0.61421530,4.92,A0,129685,c2 Cen,
3.93123778,-0.14868266,4.92,B9.5,132742,del Lib,
4.21253395,-0.34560913,4.92,B2,144218,bet2 Sco,
4.94463413,0.88502737,4.92,G7,175535,,
5.21692003,0.91523127,4.92,A4,189037,psi Cyg,
5.44184934,0.59994239,4.92,K3,198134,,
5.80385972,-0.56807558,4.92,F6,210302,tau PsA,
0.78130391,0.61406016,4.93,K2,18449,24 Per,
1.09451052,-0.73292678,4.93,A9,26612,del Hor,
1.13625298,0.60330214,4.93,G8,27348,54 Per,
1.59254749,-0.28770783,4.93,A2,41511,17 Lep,
1.73933695,-0.84160261,4.93,G8,47973,Y Pup,
1.84959086,-0.86540212,4.93,A4,53811,61 Pup,
2.09323882,-0.06422327,4.93,K2,65695,27 Mon,
2.31166678,-0.79077475,4.93,A2,75710,g Vel,
2.75340234,-1.27795917,4.93,K4-5,91496,,
3.32460497,-1.04171431,4.93,B6,110335,39 Cru,
3.40657727,0.98377907,4.93,F2,113139,78 UMa,
3.95885035,0.43404884,4.93,F5,134083,c Boo,
4.97425382,0.56104578,4.93,K2.5,176670,lam Lyr,
5.00219363,-0.64687720,4.93,F8,177474,gam CrA A,
5.27711935,0.64297445,4.93,B2.5,191610,b2 Cyg,
6.21333578,0.51245776,4.93,K0,222842,78 Peg,
0.18966638,0.82073623,4.94,A5,4058,pi Cas,
0.43886304,0.70820128,4.94,B8,10205,tau And,
0.57758035,0.52888809,4.94,G5,13480,iot Tri,
1.12250851,0.35916452,4.94,A3,27045,ome Tau,
1.30575354,0.66131010,4.94,A1,31647,ome Aur,
1.39310726,0.38565474,4.94,G8,34559,109 Tau,
1.98819909,-0.91688933,4.94,K3,61248,Q Car,
2.00881579,-0.26640027,4.94,K3,61772,140 Pup,
2.10974673,0.48509972,4.94,K1.5,66216,chi Gem,
2.42431324,-0.67317349,4.94,K0,79917,l Vel,
2.54050126,-0.41740519,4.94,F9,84117,,
2.59561003,-0.33177739,4.94,M1,85951,,Felis
2.90305705,-0.47636338,4.94,F3,96202,chi1 Hya,
3.05822409,-1.08367493,4.94,G3,101570,,
3.29314541,1.22211348,4.94,K3,109551,6 Dra,
3.36716919,0.48067337,4.94,G0,111812,31 Com,
3.55231953,0.06385966,4.94,A1,118022,78 Vir,
3.84289504,0.28655397,4.94,B9,129174,pi1 Boo,
3.86591157,-0.44406509,4.94,F2,129926,54 Hya,
3.88779363,-0.04012803,4.94,G8,130952,11 Lib,
4.03257596,-0.18015676,4.94,F5,137052,eps Lib,
4.24760053,-0.95348307,4.94,G8,145397,kap Nor,
4.24115008,-0.17565284,4.94,A3,145570,psi Sco,
4.33750680,-0.76873512,4.94,B0,149038,mu Nor,
5.21793087,0.67171905,4.94,B5,188892,22 Cyg,
5.26821817,-0.92294465,4.94,M1,190421,xi Tel,
5.98662478,0.75594573,4.94,M0,216397,15 Lac,
6.13890476,0.02191358,4.94,A0,220825,kap Psc,
0.01964223,-0.18342441,4.94,K3,225212,3 Cet,
0.44412812,0.74374782,4.95,G1.5,10307,,
0.87895508,0.75624147,4.95,A3,20677,l Per,
1.13601299,0.47736209,4.95,K1,27382,phi Tau,
1.41697464,0.03222557,4.95,B1,35439,psi1 Ori,
1.48720960,-0.01970283,4.95,B2,37756,,
1.57882484,-0.18497096,4.95,B5,40967,3 Mon,
1.62339619,0.28153130,4.95,B5,42545,f1 Ori,
1.81630597,-0.85034380,4.95,M1,51799,,
3.00168997,0.04984854,4.95,G7.5,99648,tau Leo,
3.21289663,0.41792394,4.95,G8,106714,7 Com,
3.25679166,0.47592220,4.95,F0,108283,14 Com,
3.27297959,1.20778723,4.95,M3,108907,4 Dra,
3.44290193,-0.40348619,4.95,K1,114149,psi Hya,
4.17914726,0.95556292,4.95,F0,143466,,
4.26517018,1.32217902,4.95,F5,148048,eta UMi,
4.80095717,0.38329854,4.95,M1,168720,106 Her,
5.13515863,-0.12265301,4.95,B0.5,184915,kap Aql,
5.19701601,0.39461894,4.95,B2.5,187811,12 Vul,
5.29828147,0.26524641,4.95,A2,192425,rho Aql,
5.36714198,0.85436776,4.95,B2.5,195556,ome1 Cyg,
6.00582340,0.86801526,4.95,K5,216946,,
6.22225150,0.81018669,4.95,G5,223047,psi And,
0.32805645,-0.79467265,4.96,F8,7570,nu Phe,
1.96817871,1.43835008,4.96,M4,55966,,
1.92957057,-0.33190345,4.96,B7,57821,,
3.23038628,0.05781403,4.96,K0,107328,c Vir,
4.10275274,-0.41570349,4.96,K3,139663,42 Lib,
4.06406461,1.35000248,4.96,K5,139669,the UMi,
4.37018809,-0.30966019,4.96,G7.5,150416,24 Sco,
4.71896305,0.37691355,4.96,A5,164669,95 Her,
4.85095358,-0.80136793,4.96,B6,170465,del1 Tel,
5.05113557,-0.33079322,4.96,G8,180540,43 Sgr,
5.21819994,1.02705839,4.96,K5,189276,,
0.97029398,0.59280108,4.97,B0.5,22951,40 Per,
1.05288442,-1.06602771,4.97,K4,25728,iot Ret,
1.17129046,0.28553102,4.97,K2,28292,75 Tau,
1.55115410,-0.64788076,4.97,K1,40176,xi Col,
1.98006876,-0.25348968,4.97,M2,60414,,
2.06601896,0.46715192,4.97,A3,64145,phi Gem,
2.38225807,0.08887604,4.97,K2,77996,ome Hya,
2.49558085,0.19721736,4.97,K0,82395,xi Leo,
2.72328814,1.14434936,4.97,A0,89822,,
3.09771217,-1.22567201,4.97,G6,102839,,
3.53304092,-0.40633689,4.97,M7,117287,,
3.62099824,-0.31650092,4.97,K0.5,120452,89 Vir,
3.78812079,-0.51472669,4.97,B8,126769,52 Hya,
4.76432707,0.54812550,4.97,M3,167006,104 Her,
5.07946081,0.51699077,4.97,B3,182568,2 Cyg,
5.29940139,0.64239267,4.97,A2,192640,29 Cyg,
0.34942219,1.01633431,4.98,F0,7927,phi Cas,
0.43349615,0.77468378,4.98,G8,10072,chi And,
0.56470855,0.45273356,4.98,F2,13174,14 Ari,
0.90779665,0.85630701,4.98,B5,21278,,
1.64895799,1.07364414,4.98,M3,42973,1 Lyn,
1.91406623,-0.42863347,4.98,O7,57060,29 CMa,
2.26903711,-0.21773467,4.98,K4,73840,6 Hya,
3.52744132,0.24048698,4.98,G4,117176,70 Vir,
3.55522114,0.64895705,4.98,F2,118216,,
4.46424679,0.24595083,4.98,M3,154143,32 Oph,
4.76354167,-0.41366243,4.98,K0,166464,1 Sgr,
4.81670876,1.02626330,4.98,A1,170073,39 Dra,
4.95779682,0.07333777,4.98,A5,175639,the2 Ser,
6.10412180,-0.16774069,4.98,A0,219832,psi3 Aqr,
6.12976359,1.08703954,4.98,M1,220652,4 Cas,
6.16953528,0.54672924,4.98,K4,221673,72 Peg,
0.44822237,-0.06440750,4.99,K3,10550,,
0.50614548,1.19878424,4.99,B8,11529,ome Cas,
0.78014763,-1.11825669,4.99,A3-5,18866,bet Hor,
